"評定者","対象","小さい","綺麗","癒し","柔らかい","ふわふわ","あたたかい","お洒落","美しい","優しい","女の子らしい","素敵","丸い","きらきら","無邪気","和み","幼い","華やか"
"E2PLla6IW","ブタ","1","-1","2","-1","-2","2","-2","-2","-1","-2","1","2","1","0","2","0","0"
"5t11p+6tE","ハートやリボンがモチーフのアクセサリー","2","2","1","-1","0","2","0","1","2","2","2","1","0","0","1","1","2"
"F2seKdTJG","赤ちゃん","2","-2","2","2","2","2","-2","-2","2","1","-2","2","2","2","2","2","1"
"/PHWjtxQs","洋服","2","2","2","2","2","2","2","2","2","2","2","-1","-1","2","2","2","2"
"c5CsQRoM+","モデル・女優","0","2","1","1","1","0","2","2","0","1","2","-1","2","0","1","0","2"
"Kd5ICgpJS","幼児","2","-2","0","0","0","1","-2","-2","-1","-1","1","1","2","2","0","2","-1"
"Qwt1NaTQw","動物","1","-1","2","2","2","2","-2","-1","-2","-2","0","-2","-2","2","2","-2","-2"
"hx3923eKu","青系統の色のもの","0","2","0","0","-1","-1","2","2","0","-1","2","0","0","0","2","-1","0"
"tMFkHybly","イナズマイレブン","0","0","2","0","-1","2","-1","2","2","-2","2","-1","2","2","2","2","1"
"68qJcFZve","レース","-1","1","-1","2","2","-1","2","1","-2","2","1","-1","-2","-2","-2","-2","2"
"obSIK8Bry","赤ちゃん","2","2","2","2","2","2","-1","0","2","0","0","2","0","2","2","2","-1"
"DDEtD7JlW","うさぎ","0","0","2","0","0","2","-2","-1","0","0","2","-2","0","2","2","-1","0"
"nEo1hVR42","その他の猫","1","0","2","1","1","1","-2","1","-2","1","1","0","0","1","2","0","-1"
"ThSFP/7c6","ブタ","2","-2","-2","2","2","2","2","2","-2","-2","-2","2","-1","1","2","-1","-1"
"AQyJT8wuY","小動物","2","1","2","2","2","2","-1","1","1","2","1","2","-1","1","2","2","-1"
"6rimPm3+0","ぬいぐるみ","2","-1","2","2","2","1","-1","-1","0","1","-1","1","-2","-1","0","1","-2"
"/PHWjtxQs","ぬいぐるみ","2","2","2","2","2","2","2","2","2","2","2","-2","-2","2","2","2","2"
"7U+LCg3y8","サンダル","-2","1","-2","-2","-2","-2","2","2","-2","2","2","-2","-1","-2","-2","-2","2"
"Gt+RIPOxE","花柄","2","2","2","2","0","2","1","2","2","2","1","1","2","2","2","-1","2"
"c5CsQRoM+","赤ちゃん","2","2","2","2","2","2","-1","2","2","1","2","2","0","2","2","2","-1"
"Fw8SEx7Kc","ピンク色の小物","1","2","2","0","2","2","2","2","2","2","2","0","-1","-2","-2","-1","0"
"Z2uCV4nI+","花","0","1","1","-2","-2","-2","-2","2","-2","1","1","-2","1","-2","0","-2","2"
"7evdA3bIQ","赤ちゃん","2","0","2","2","2","2","-2","0","2","0","2","2","2","2","2","2","2"
"Qwt1NaTQw","友達","-2","2","1","-2","-2","2","2","2","2","2","2","-2","-2","1","1","-2","0"
"Kd5ICgpJS","レース","1","2","-1","2","2","2","2","2","2","2","2","0","2","-2","-1","-1","2"
"68qJcFZve","モデルさん","-1","2","-1","-1","-1","-1","2","2","-1","1","2","-1","2","-1","-1","-1","2"
"/PHWjtxQs","声","2","2","2","2","2","2","2","2","2","2","2","-2","-2","2","2","2","2"
"nEo1hVR42","爬虫類（蛇・とかげ）","1","1","2","-2","-2","-2","-1","2","-2","-2","2","0","-1","-1","2","-1","-2"
"hx3923eKu","キャラクター","1","2","1","1","1","1","2","2","2","-2","2","-1","2","-1","-1","-1","2"
"7evdA3bIQ","子供","2","-1","2","2","2","2","-2","2","2","-1","2","2","2","2","2","2","2"
"c5CsQRoM+","アクセサリー","2","2","2","-1","-1","-2","2","2","0","2","2","1","2","-1","-1","-2","2"
"obSIK8Bry","小さいアクセサリー","2","2","2","1","0","2","2","2","1","2","2","-1","2","-1","2","-1","0"
"6rimPm3+0","スヌーピー","2","-1","1","0","0","0","1","-1","1","0","1","0","-2","1","0","0","-2"
"DDEtD7JlW","ねこ","1","0","2","1","1","2","-1","0","2","1","0","-2","-1","2","2","-1","0"
"7evdA3bIQ","犬","-1","2","2","2","2","2","-1","2","2","-1","2","0","2","2","2","2","2"
"Fw8SEx7Kc","ガーリーな雑貨","0","2","2","2","2","0","2","2","2","2","2","-1","-2","-2","-2","0","1"
"nEo1hVR42","小さいもの","2","0","0","0","0","0","0","0","0","2","1","1","1","1","1","1","0"
"Ivxlf4VuU","ペットのインコたちが寝てるとき","1","-1","2","2","2","1","-2","-2","1","-1","-1","2","-1","0","2","1","-2"
"obSIK8Bry","スニーカーが似合うこと","2","0","2","2","2","1","2","0","1","2","2","1","2","2","1","1","1"
"DDEtD7JlW","犬","1","0","2","1","0","2","0","0","2","0","1","-1","0","2","2","0","0"
"nEo1hVR42","ロリータ・ゴスロリ","0","2","1","1","2","0","2","2","2","1","2","0","0","-1","0","0","2"
"obSIK8Bry","色白","1","2","2","2","2","2","0","2","2","2","2","0","2","0","2","0","1"
"Ivxlf4VuU","猫","0","1","2","1","1","1","-1","1","-1","-2","1","0","-1","1","2","0","-1"
"Ivxlf4VuU","祖父母が飼っている犬","0","-1","1","1","1","1","-1","-2","-1","-2","-1","0","-2","2","1","0","-2"
"Ivxlf4VuU","幸せそうな笑顔","-1","1","1","1","0","2","-1","1","2","-1","2","1","-1","0","2","1","0"
"Ivxlf4VuU","外国の民芸品","0","2","1","0","0","0","1","1","2","-1","2","0","0","-1","1","-1","2"
"vCRAu6MT0","篠田麻里子","-2","2","2","-2","-2","2","2","2","2","2","2","-2","2","2","2","-2","2"
"6OJl9rM7g","パンダ","0","-2","2","2","2","2","-2","-2","1","-2","2","2","-2","2","2","0","-2"
"wL0tYZYUS","赤ちゃん","2","0","2","2","-2","2","-2","-1","-1","-1","-1","1","1","2","2","2","1"
"HTuQxp6Dk","犬","2","0","2","1","2","2","0","0","1","0","0","1","0","2","2","0","0"
"6OJl9rM7g","赤ちゃん","2","-2","2","2","2","2","-2","-2","-2","-2","2","2","-2","2","2","2","-2"
"mclyPQP7M","動物","2","0","2","2","2","2","-1","2","1","0","1","2","1","2","2","2","2"
"ujVPyd39o","大型犬","-2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"4G1BHLSiM","犬","1","-1","2","2","2","2","-1","-1","0","-1","1","1","0","2","2","2","0"
"wL0tYZYUS","犬","2","2","2","2","2","2","2","2","2","-2","1","2","-1","2","2","2","2"
"6Xg+rv8Vi","犬","0","-2","2","2","2","2","-2","-2","2","-1","-1","2","2","2","2","2","-2"
"Rj/I2VCKg","アクセサリー","1","2","2","0","2","0","2","2","0","2","2","0","2","0","2","1","2"
"6e5WchKpo","友達","1","2","2","1","1","1","2","2","1","2","1","1","1","1","1","0","0"
"neOpYpc06","外国の女の子","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"f6XIptva8","海外の小物","-1","0","-1","-2","1","-1","2","1","0","2","1","0","2","0","1","-1","2"
"xdR2ejI10","犬","0","-2","2","2","2","2","-1","-2","2","0","-1","2","1","2","2","2","-1"
"6OJl9rM7g","赤色の財布","-2","2","-2","-2","-2","-2","2","2","-2","-2","2","-2","2","-2","-2","-2","2"
"KZcS2yN9u","猫","2","1","2","2","2","1","-2","0","-1","1","1","0","-2","2","2","-1","-2"
"wL0tYZYUS","猫","2","2","2","2","2","2","2","2","0","-1","2","2","2","2","2","2","2"
"HTuQxp6Dk","洋服","-2","2","1","1","0","-1","2","1","-2","1","2","-2","0","-2","-1","-2","2"
"mclyPQP7M","ピンク","-1","2","2","2","2","2","1","2","-1","2","2","-1","1","-1","2","-1","2"
"ujVPyd39o","赤ちゃん","2","-1","2","2","1","2","-1","0","2","-1","2","2","2","2","2","2","2"
"6Xg+rv8Vi","吉高ゆりこ","0","2","2","1","2","0","2","2","0","2","2","-2","2","2","2","-2","1"
"w5+QO9FC4","愛犬の表情、しぐさ等すべて","2","-2","2","2","2","1","-2","0","1","-2","0","2","1","2","2","0","-2"
"4G1BHLSiM","ピンク","-2","1","-1","0","0","1","1","0","1","2","1","1","0","0","1","1","1"
"f6XIptva8","ピンク色","1","1","1","1","2","-1","-1","-1","0","2","1","2","1","0","0","1","0"
"wL0tYZYUS","子供","2","-1","2","2","-2","2","2","2","2","2","2","2","2","2","2","2","2"
"neOpYpc06","知念侑李","2","2","1","2","1","0","1","2","1","1","2","1","2","1","0","-1","1"
"6e5WchKpo","猫","0","1","2","1","1","1","-1","2","0","-1","1","0","1","2","2","-2","1"
"xdR2ejI10","お花","2","2","2","1","1","1","2","2","2","1","2","0","2","1","2","-2","2"
"HTuQxp6Dk","友達","-2","0","1","-2","-2","1","2","1","2","2","2","-2","2","2","2","-2","1"
"7FyONqzU","家で飼っている犬","-2","1","2","2","2","2","-2","2","1","-1","1","1","-1","2","2","0","0"
"KZcS2yN9u","宮崎あおい（女優）","-1","2","2","-1","0","1","2","2","2","2","2","-1","0","0","1","-2","0"
"6Xg+rv8Vi","北川景子","-2","2","0","0","2","-1","2","2","-1","2","2","-1","2","0","-1","-2","2"
"w5+QO9FC4","中居正広の表情、話し方","-2","2","2","1","2","2","2","2","2","0","2","-2","2","2","2","0","2"
"AdpdnEOno","ヘアアクセサリー","1","2","0","1","1","-2","2","1","-1","2","1","0","1","-2","-2","-2","1"
"uCXwiQ0AQ","猫","2","1","2","2","2","2","0","1","2","2","2","2","-1","2","2","0","0"
"4G1BHLSiM","動物","0","-1","2","2","2","2","-1","-1","0","-2","2","1","-1","2","2","1","-1"
"ujVPyd39o","少女時代","-2","2","1","-1","-1","-1","2","2","-1","2","2","-2","2","-2","0","-2","2"
"Rj/I2VCKg","髪型","0","2","2","2","2","1","2","2","0","2","2","0","1","1","1","1","2"
"f6XIptva8","流行のもの","-2","2","1","0","1","-1","1","1","0","0","2","-2","0","0","0","-2","2"
"neOpYpc06","赤ちゃん","2","1","2","2","2","2","0","1","2","2","2","2","2","2","2","2","1"
"KZcS2yN9u","アニメの美少女キャラ","0","1","2","2","1","2","0","2","2","2","2","0","2","2","2","0","2"
"HTuQxp6Dk","小物","2","2","2","2","2","-1","2","2","-1","2","2","2","2","-2","1","-1","2"
"6e5WchKpo","赤ちゃん","2","1","2","2","2","1","-2","1","1","-1","0","1","2","2","2","2","-1"
"xdR2ejI10","赤ちゃん","2","0","2","2","2","2","-1","0","2","2","1","2","2","2","2","2","0"
"6Xg+rv8Vi","ピアス","2","2","-2","-2","-2","-2","2","2","-2","2","2","2","2","-2","-2","-2","2"
"uCXwiQ0AQ","女の子","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"4G1BHLSiM","子供","2","-1","2","2","2","2","-1","0","0","0","2","2","2","2","2","2","0"
"7FyONqzU","動物","-1","-1","2","0","0","1","-2","2","0","-2","2","-1","-1","-2","2","-1","0"
"AdpdnEOno","レース","0","2","2","2","2","1","1","2","2","2","1","-1","0","-2","1","-1","1"
"w5+QO9FC4","ハローキティ","2","-2","-2","-2","0","2","-2","-2","1","2","0","1","2","1","1","0","0"
"ujVPyd39o","ZARA","-2","2","0","0","0","1","2","2","-1","1","2","-1","2","-1","1","-2","2"
"neOpYpc06","香水","2","2","2","0","0","1","2","2","0","1","2","2","2","0","1","-1","2"
"HTuQxp6Dk","化粧品","1","2","2","1","1","-1","2","2","-2","2","2","-2","2","-2","0","-2","2"
"6Xg+rv8Vi","ミッキー","-1","-2","2","1","0","2","-2","-2","2","-2","2","2","2","2","2","0","-2"
"uCXwiQ0AQ","ピンク","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"6e5WchKpo","芸能人","-1","2","0","0","0","-1","2","2","1","0","2","-1","2","0","1","-1","2"
"Rj/I2VCKg","髪色","-1","2","2","2","2","0","2","2","-1","2","2","0","2","2","0","1","2"
"ujVPyd39o","長谷川潤","-2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"w5+QO9FC4","ダッフィー","0","-2","2","2","2","2","-2","-2","2","-2","0","2","2","0","2","0","-1"
"neOpYpc06","クッション","0","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","2"
"uCXwiQ0AQ","服","-1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2"
"xdR2ejI10","女の子","2","2","2","2","2","0","2","2","2","2","2","2","2","2","2","1","2"
"AdpdnEOno","アンティーク","-2","0","2","2","0","0","2","1","0","0","1","-2","-1","-2","1","-2","-2"
"7FyONqzU","ぬいぐるみ","0","-1","2","2","2","0","-1","-1","1","2","1","1","-1","0","2","2","-2"
"bT2TTUTCK","犬","0","-1","1","2","2","2","-1","-1","0","0","0","1","0","1","2","0","-1"
"w5+QO9FC4","ピンク色の雑貨","-2","2","2","-2","-2","-2","2","1","-2","1","1","-2","1","-2","0","-2","2"
"uCXwiQ0AQ","アクセサリー","1","2","1","1","1","1","2","2","2","2","2","1","2","2","2","1","2"
"6e5WchKpo","アクセサリー","0","2","0","0","0","-1","2","-1","-1","0","1","0","2","-1","1","-2","2"
"Rj/I2VCKg","顔","0","2","2","2","2","1","0","2","2","2","2","2","0","1","1","2","2"
"AdpdnEOno","赤ちゃん","2","-2","1","2","2","0","-2","-2","-2","1","-2","0","0","1","0","2","-2"
"bT2TTUTCK","洋服","-2","2","0","1","1","-2","2","2","-1","2","2","-1","1","-1","-1","-1","2"
"xdR2ejI10","アクセサリー","2","2","-2","-2","-2","-2","2","2","-1","2","2","0","2","-2","-2","-2","2"
"7FyONqzU","小さい子ども","2","-1","1","2","0","1","-2","-1","1","-1","0","-1","2","2","0","2","-1"
"AdpdnEOno","バレリーナのマスコット","2","2","2","2","2","-2","1","1","-1","2","0","-2","2","-2","-2","0","1"
"Rj/I2VCKg","服","0","2","2","2","2","2","2","2","-1","2","2","0","2","0","2","0","2"
"bT2TTUTCK","化粧品","1","2","2","1","1","-1","2","2","-1","2","2","0","2","1","1","-1","2"
"bT2TTUTCK","赤ちゃん","2","1","2","2","2","2","0","2","2","2","2","2","2","2","2","2","0"
"7FyONqzU","自分の好みに合った小物","2","-1","2","0","1","-1","0","1","-1","-1","2","0","2","2","2","-2","0"
"1/rTuuw28","愛犬","2","-1","2","2","2","2","-1","-1","-1","-1","2","2","-1","2","2","0","-1"
"k/LMMqbra","赤ちゃん","2","0","2","2","2","2","-2","0","-2","-2","2","2","2","2","2","2","-2"
"9AVtLB2Fu","ぬいるぐみ","0","-1","2","2","2","2","-1","-1","1","2","0","1","1","2","2","2","-1"
"zxNN9DZQC","安室奈美恵","-2","2","2","-2","0","-2","2","2","0","0","0","-2","-2","-2","-2","-2","-2"
