表層形,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ
、,記号,読点,*,*,*,*,、,、,、
必ず,副詞,助詞類接続,*,*,*,*,必ず,カナラズ,カナラズ
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
畏怖,名詞,サ変接続,*,*,*,*,畏怖,イフ,イフ
嫌,名詞,形容動詞語幹,*,*,*,*,嫌,イヤ,イヤ
厭,名詞,形容動詞語幹,*,*,*,*,厭,イヤ,イヤ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
情,名詞,一般,*,*,*,*,情,ジョウ,ジョー
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
起さ,動詞,自立,*,*,五段・サ行,未然形,起す,オコサ,オコサ
せる,動詞,接尾,*,*,一段,基本形,せる,セル,セル
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
決っ,動詞,自立,*,*,五段・ラ行,連用タ接続,決る,キマッ,キマッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
。,記号,句点,*,*,*,*,。,。,。
しかし,接続詞,*,*,*,*,*,しかし,シカシ,シカシ
、,記号,読点,*,*,*,*,、,、,、
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
、,記号,読点,*,*,*,*,、,、,、
図ら,動詞,自立,*,*,五段・ラ行,未然形,図る,ハカラ,ハカラ
ず,助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
も,助詞,係助詞,*,*,*,*,も,モ,モ
故人,名詞,一般,*,*,*,*,故人,コジン,コジン
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
遇う,動詞,自立,*,*,五段・ワ行促音便,基本形,遇う,アウ,アウ
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
得,動詞,自立,*,*,一段,連用形,得る,エ,エ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
愧赧,名詞,一般,*,*,*,*,愧赧,愧赧,愧赧
の,助詞,連体化,*,*,*,*,の,ノ,ノ
念,名詞,一般,*,*,*,*,念,ネン,ネン
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
も,助詞,係助詞,*,*,*,*,も,モ,モ
忘れる,動詞,自立,*,*,一段,基本形,忘れる,ワスレル,ワスレル
程,名詞,非自立,一般,*,*,*,程,ホド,ホド
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
懐かしい,形容詞,自立,*,*,形容詞・イ段,基本形,懐かしい,ナツカシイ,ナツカシイ
。,記号,句点,*,*,*,*,。,。,。
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
、,記号,読点,*,*,*,*,、,、,、
ほんの,連体詞,*,*,*,*,*,ほんの,ホンノ,ホンノ
暫く,副詞,一般,*,*,*,*,暫く,シバラク,シバラク
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
いい,形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ
、,記号,読点,*,*,*,*,、,、,、
我が,連体詞,*,*,*,*,*,我が,ワガ,ワガ
醜悪,名詞,形容動詞語幹,*,*,*,*,醜悪,シュウアク,シューアク
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
外形,名詞,一般,*,*,*,*,外形,ガイケイ,ガイケイ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
厭わ,動詞,自立,*,*,五段・ワ行促音便,未然形,厭う,イトワ,イトワ
ず,助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
、,記号,読点,*,*,*,*,、,、,、
曾,名詞,一般,*,*,*,*,曾,曾,曾
て,助詞,格助詞,連語,*,*,*,て,テ,テ
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
友,名詞,一般,*,*,*,*,友,トモ,トモ
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,一般,*,*,*,*,徴,シルシ,シルシ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
この,連体詞,*,*,*,*,*,この,コノ,コノ
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
と,助詞,格助詞,一般,*,*,*,と,ト,ト
話,名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
交し,動詞,自立,*,*,五段・サ行,連用形,交す,カワシ,カワシ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
くれ,動詞,非自立,*,*,一段・クレル,未然形,くれる,クレ,クレ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
。,記号,句点,*,*,*,*,。,。,。
  ,記号,空白,*,*,*,*,  ,  ,  
後で,副詞,一般,*,*,*,*,後で,アトデ,アトデ
考えれ,動詞,自立,*,*,一段,仮定形,考える,カンガエレ,カンガエレ
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ
不思議,名詞,形容動詞語幹,*,*,*,*,不思議,フシギ,フシギ
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ
、,記号,読点,*,*,*,*,、,、,、
その,連体詞,*,*,*,*,*,その,ソノ,ソノ
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
、,記号,読点,*,*,*,*,、,、,、
袁傪,名詞,一般,*,*,*,*,袁傪,袁傪,袁傪
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
この,連体詞,*,*,*,*,*,この,コノ,コノ
超自然,名詞,一般,*,*,*,*,超自然,チョウシゼン,チョーシゼン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
怪異,名詞,一般,*,*,*,*,怪異,カイイ,カイイ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
、,記号,読点,*,*,*,*,、,、,、
実に,副詞,一般,*,*,*,*,実に,ジツニ,ジツニ
素直,名詞,形容動詞語幹,*,*,*,*,素直,スナオ,スナオ
に,助詞,副詞化,*,*,*,*,に,ニ,ニ
受容,名詞,サ変接続,*,*,*,*,受容,ジュヨウ,ジュヨー
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
少し,副詞,助詞類接続,*,*,*,*,少し,スコシ,スコシ
も,助詞,係助詞,*,*,*,*,も,モ,モ
怪,名詞,一般,*,*,*,*,怪,カイ,カイ
も,助詞,係助詞,*,*,*,*,も,モ,モ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と,助詞,格助詞,一般,*,*,*,と,ト,ト
し,動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
部下,名詞,一般,*,*,*,*,部下,ブカ,ブカ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
命じ,動詞,自立,*,*,一段,連用形,命じる,メイジ,メイジ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
行列,名詞,サ変接続,*,*,*,*,行列,ギョウレツ,ギョーレツ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
進行,名詞,サ変接続,*,*,*,*,進行,シンコウ,シンコー
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
停め,動詞,自立,*,*,一段,連用形,停める,トメ,トメ
、,記号,読点,*,*,*,*,、,、,、
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
叢,名詞,一般,*,*,*,*,叢,クサムラ,クサムラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
傍,名詞,一般,*,*,*,*,傍,ハタ,ハタ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
立っ,動詞,自立,*,*,五段・タ行,連用タ接続,立つ,タッ,タッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
見え,動詞,自立,*,*,一段,未然形,見える,ミエ,ミエ
ざる,助動詞,*,*,*,特殊・ヌ,体言接続,ぬ,ザル,ザル
声,名詞,一般,*,*,*,*,声,コエ,コエ
と,助詞,格助詞,一般,*,*,*,と,ト,ト
対談,名詞,サ変接続,*,*,*,*,対談,タイダン,タイダン
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
都,名詞,一般,*,*,*,*,都,ト,ト
の,助詞,連体化,*,*,*,*,の,ノ,ノ
噂,名詞,サ変接続,*,*,*,*,噂,ウワサ,ウワサ
、,記号,読点,*,*,*,*,、,、,、
旧友,名詞,一般,*,*,*,*,旧友,キュウユウ,キューユー
の,助詞,連体化,*,*,*,*,の,ノ,ノ
消息,名詞,一般,*,*,*,*,消息,ショウソク,ショーソク
、,記号,読点,*,*,*,*,、,、,、
袁傪,名詞,一般,*,*,*,*,袁傪,袁傪,袁傪
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
現在,名詞,副詞可能,*,*,*,*,現在,ゲンザイ,ゲンザイ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
地位,名詞,一般,*,*,*,*,地位,チイ,チイ
、,記号,読点,*,*,*,*,、,、,、
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
に対する,助詞,格助詞,連語,*,*,*,に対する,ニタイスル,ニタイスル
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,一般,*,*,*,*,徴,シルシ,シルシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
祝辞,名詞,一般,*,*,*,*,祝辞,シュクジ,シュクジ
。,記号,句点,*,*,*,*,。,。,。
青年,名詞,一般,*,*,*,*,青年,セイネン,セイネン
時代,名詞,一般,*,*,*,*,時代,ジダイ,ジダイ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
親しかっ,形容詞,自立,*,*,形容詞・イ段,連用タ接続,親しい,シタシカッ,シタシカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
者,名詞,非自立,一般,*,*,*,者,モノ,モノ
同志,名詞,一般,*,*,*,*,同志,ドウシ,ドーシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
、,記号,読点,*,*,*,*,、,、,、
あの,連体詞,*,*,*,*,*,あの,アノ,アノ
隔て,名詞,一般,*,*,*,*,隔て,ヘダテ,ヘダテ
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
語調,名詞,一般,*,*,*,*,語調,ゴチョウ,ゴチョー
で,助詞,格助詞,一般,*,*,*,で,デ,デ
、,記号,読点,*,*,*,*,、,、,、
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
等,名詞,接尾,一般,*,*,*,等,トウ,トー
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
語ら,動詞,自立,*,*,五段・ラ行,未然形,語る,カタラ,カタラ
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
後,名詞,非自立,副詞可能,*,*,*,後,ノチ,ノチ
、,記号,読点,*,*,*,*,、,、,、
袁傪,名詞,一般,*,*,*,*,袁傪,袁傪,袁傪
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,一般,*,*,*,*,徴,シルシ,シルシ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
どうして,副詞,一般,*,*,*,*,どうして,ドウシテ,ドーシテ
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
身,名詞,一般,*,*,*,*,身,ミ,ミ
と,助詞,格助詞,一般,*,*,*,と,ト,ト
なる,動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
至っ,動詞,自立,*,*,五段・ラ行,連用タ接続,至る,イタッ,イタッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
訊ね,動詞,自立,*,*,一段,連用形,訊ねる,タズネ,タズネ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
草,名詞,一般,*,*,*,*,草,クサ,クサ
中,名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
の,助詞,連体化,*,*,*,*,の,ノ,ノ
声,名詞,一般,*,*,*,*,声,コエ,コエ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
次,名詞,一般,*,*,*,*,次,ツギ,ツギ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
語っ,動詞,自立,*,*,五段・ラ行,連用タ接続,語る,カタッ,カタッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
  ,記号,空白,*,*,*,*,  ,  ,  
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
一,名詞,数,*,*,*,*,一,イチ,イチ
年,名詞,接尾,助数詞,*,*,*,年,ネン,ネン
程,助詞,副助詞,*,*,*,*,程,ホド,ホド
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ
、,記号,読点,*,*,*,*,、,、,、
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
旅,名詞,サ変接続,*,*,*,*,旅,タビ,タビ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
出,動詞,自立,*,*,一段,連用形,出る,デ,デ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
汝,名詞,一般,*,*,*,*,汝,ナンジ,ナンジ
水,名詞,接尾,一般,*,*,*,水,スイ,スイ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
ほとり,名詞,一般,*,*,*,*,ほとり,ホトリ,ホトリ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
泊っ,動詞,自立,*,*,五段・ラ行,連用タ接続,泊る,トマッ,トマッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
夜,名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル
の,助詞,連体化,*,*,*,*,の,ノ,ノ
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
、,記号,読点,*,*,*,*,、,、,、
一睡,名詞,サ変接続,*,*,*,*,一睡,イッスイ,イッスイ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
、,記号,読点,*,*,*,*,、,、,、
ふと,副詞,一般,*,*,*,*,ふと,フト,フト
眼,名詞,一般,*,*,*,*,眼,メ,メ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
覚ます,動詞,自立,*,*,五段・サ行,基本形,覚ます,サマス,サマス
と,助詞,接続助詞,*,*,*,*,と,ト,ト
、,記号,読点,*,*,*,*,、,、,、
戸外,名詞,一般,*,*,*,*,戸外,コガイ,コガイ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
誰,名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
我が,連体詞,*,*,*,*,*,我が,ワガ,ワガ
名,名詞,一般,*,*,*,*,名,ナ,ナ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
呼ん,動詞,自立,*,*,五段・バ行,連用タ接続,呼ぶ,ヨン,ヨン
で,助詞,接続助詞,*,*,*,*,で,デ,デ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
。,記号,句点,*,*,*,*,。,。,。
声,名詞,一般,*,*,*,*,声,コエ,コエ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
応じ,動詞,自立,*,*,一段,連用形,応じる,オウジ,オージ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
外,名詞,一般,*,*,*,*,外,ソト,ソト
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ
出,動詞,自立,*,*,一段,連用形,出る,デ,デ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
見る,動詞,自立,*,*,一段,基本形,見る,ミル,ミル
と,助詞,接続助詞,*,*,*,*,と,ト,ト
、,記号,読点,*,*,*,*,、,、,、
声,名詞,一般,*,*,*,*,声,コエ,コエ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
闇,名詞,一般,*,*,*,*,闇,ヤミ,ヤミ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
頻りに,副詞,一般,*,*,*,*,頻りに,シキリニ,シキリニ
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
招く,動詞,自立,*,*,五段・カ行イ音便,基本形,招く,マネク,マネク
。,記号,句点,*,*,*,*,。,。,。
覚えず,副詞,一般,*,*,*,*,覚えず,オボエズ,オボエズ
、,記号,読点,*,*,*,*,、,、,、
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
声,名詞,一般,*,*,*,*,声,コエ,コエ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
追う,動詞,自立,*,*,五段・ワ行促音便,基本形,追う,オウ,オウ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
走り出し,動詞,自立,*,*,五段・サ行,連用形,走り出す,ハシリダシ,ハシリダシ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
無我夢中,名詞,一般,*,*,*,*,無我夢中,ムガムチュウ,ムガムチュー
で,助詞,格助詞,一般,*,*,*,で,デ,デ
駈け,動詞,自立,*,*,一段,連用形,駈ける,カケ,カケ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
行く,動詞,非自立,*,*,五段・カ行促音便,基本形,行く,イク,イク
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
、,記号,読点,*,*,*,*,、,、,、
何時しか,副詞,一般,*,*,*,*,何時しか,イツシカ,イツシカ
途,名詞,一般,*,*,*,*,途,ト,ト
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
山林,名詞,一般,*,*,*,*,山林,サンリン,サンリン
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
入り,動詞,自立,*,*,五段・ラ行,連用形,入る,ハイリ,ハイリ
、,記号,読点,*,*,*,*,、,、,、
しかも,接続詞,*,*,*,*,*,しかも,シカモ,シカモ
、,記号,読点,*,*,*,*,、,、,、
知ら,動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ
間,名詞,一般,*,*,*,*,間,マ,マ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
左右,名詞,サ変接続,*,*,*,*,左右,サユウ,サユー
の,助詞,連体化,*,*,*,*,の,ノ,ノ
手,名詞,一般,*,*,*,*,手,テ,テ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
地,名詞,一般,*,*,*,*,地,チ,チ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
攫ん,動詞,自立,*,*,五段・マ行,連用タ接続,攫む,ツカン,ツカン
で,助詞,接続助詞,*,*,*,*,で,デ,デ
走っ,動詞,自立,*,*,五段・ラ行,連用タ接続,走る,ハシッ,ハシッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
身体,名詞,一般,*,*,*,*,身体,シンタイ,シンタイ
中,名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
力,名詞,一般,*,*,*,*,力,チカラ,チカラ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
充ち,動詞,自立,*,*,一段,連用形,充ちる,ミチ,ミチ
満ち,動詞,自立,*,*,一段,連用形,満ちる,ミチ,ミチ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
感じ,名詞,一般,*,*,*,*,感じ,カンジ,カンジ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
、,記号,読点,*,*,*,*,、,、,、
軽々と,副詞,一般,*,*,*,*,軽々と,カルガルト,カルガルト
岩石,名詞,一般,*,*,*,*,岩石,ガンセキ,ガンセキ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
跳び,動詞,自立,*,*,五段・バ行,連用形,跳ぶ,トビ,トビ
越え,動詞,自立,*,*,一段,連用形,越える,コエ,コエ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
行っ,動詞,非自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
気,名詞,一般,*,*,*,*,気,キ,キ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
付く,動詞,自立,*,*,五段・カ行イ音便,基本形,付く,ツク,ツク
と,助詞,接続助詞,*,*,*,*,と,ト,ト
、,記号,読点,*,*,*,*,、,、,、
手先,名詞,一般,*,*,*,*,手先,テサキ,テサキ
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
肱,名詞,一般,*,*,*,*,肱,ヒジ,ヒジ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
あたり,名詞,一般,*,*,*,*,あたり,アタリ,アタリ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
毛,名詞,一般,*,*,*,*,毛,ケ,ケ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
生じ,動詞,自立,*,*,一段,連用形,生じる,ショウジ,ショージ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
らしい,助動詞,*,*,*,形容詞・イ段,基本形,らしい,ラシイ,ラシイ
。,記号,句点,*,*,*,*,。,。,。
少し,副詞,助詞類接続,*,*,*,*,少し,スコシ,スコシ
明るく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,明るい,アカルク,アカルク
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
、,記号,読点,*,*,*,*,、,、,、
谷川,名詞,固有名詞,人名,姓,*,*,谷川,タニガワ,タニガワ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
臨ん,動詞,自立,*,*,五段・マ行,連用タ接続,臨む,ノゾン,ノゾン
で,助詞,接続助詞,*,*,*,*,で,デ,デ
姿,名詞,一般,*,*,*,*,姿,スガタ,スガタ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
映し,動詞,自立,*,*,五段・サ行,連用形,映す,ウツシ,ウツシ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
見る,動詞,自立,*,*,一段,基本形,見る,ミル,ミル
と,助詞,接続助詞,*,*,*,*,と,ト,ト
、,記号,読点,*,*,*,*,、,、,、
既に,副詞,一般,*,*,*,*,既に,スデニ,スデニ
虎,名詞,一般,*,*,*,*,虎,トラ,トラ
と,助詞,格助詞,一般,*,*,*,と,ト,ト
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
初め,名詞,副詞可能,*,*,*,*,初め,ハジメ,ハジメ
眼,名詞,一般,*,*,*,*,眼,メ,メ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
信じ,動詞,自立,*,*,一段,未然形,信じる,シンジ,シンジ
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
次に,接続詞,*,*,*,*,*,次に,ツギニ,ツギニ
、,記号,読点,*,*,*,*,、,、,、
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
夢,名詞,一般,*,*,*,*,夢,ユメ,ユメ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
違い,名詞,ナイ形容詞語幹,*,*,*,*,違い,チガイ,チガイ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
考え,動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
夢,名詞,一般,*,*,*,*,夢,ユメ,ユメ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
、,記号,読点,*,*,*,*,、,、,、
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
夢,名詞,一般,*,*,*,*,夢,ユメ,ユメ
